enum,name,value,description
weatherType,SUNNY,0,Clear sky with sun
weatherType,PARTLY_CLOUDY,1,Mix of sun and clouds
weatherType,CLOUDY,2,Sky covered with clouds
weatherType,RAINY,3,Precipitation in the form of water drops
weatherType,THUNDERSTORM,4,Storm with lightning and thunder
weatherType,SNOWY,5,Precipitation in the form of snowflakes
weatherType,FOGGY,6,Low hanging cloud reducing visibility
weatherType,WINDY,7,Strong air movement
temperatureSensation,FREEZING,-2,Extremely cold temperature
temperatureSensation,COLD,-1,Below comfortable temperature
temperatureSensation,COOL,0,Slightly chilly but pleasant
temperatureSensation,MILD,1,Comfortable moderate temperature
temperatureSensation,WARM,2,Pleasantly above room temperature
temperatureSensation,HOT,3,Hot temperature
temperatureSensation,SCORCHING,4,Extremely hot temperature
